text;category
 Kecewa Kadernya Tidak Jadi Menteri  PBNU : Jokowi Bisa Kualat! https://t.co/aYAyr7zyTR ;negatif
 - Politik bagi bagi kekuasaan.- Melanggar UU.- Pemborosan anggaran.- Unfaedah.#RezimPenghancurBangsa Wakil Menteri Jokowi Itu Jelas Politik bagi-bagi Kekuasaan https://t.co/UD7cxZro5e lewat @idtodaydotco ;negatif
  PPP Desak Jokowi Segerakan Cari Lima Wakil Menteri Saya bukan tertarik dgn berita itu  \ Yang menarik adalah pada foto di berita itu  seharusnya foto Presiden dong  bukan foto Menhan @prabowo @CNNIndonesia ada2 aja ah#MenhanSkillPresiden https://t.co/CZoXKxoHXO ;negatif
  Yang paling ikhlas  yaaa...Prabowo - Gus dur -Yg dituduh penculik  pelanggar HAM  pendukung radikal radikul kini tlh resmi menjabat Menteri Pertahanan RI. https://t.co/Phyw2oSekJ ;negatif
 ###Maluku For Jokowi###Tapi sayangnya Putra dan Putri Maluku tidak ada yg dipilih Jokowi jadi Menteri.Pelajaran bagi Putra dan Putri Maluku. ;negatif
 #        Lol bu susi kok ga jadi Menteri lagi ;negatif
 #4 Beban Prabowo dan Menteri Jokowi 5 Tahun ke Depan - https://t.co/lg8eka4Xz4 https://t.co/QmOFLW9sT6 #Prabowo #PrabowoSubianto #Berita #Politik #Gerindra #Indonesia ;negatif
 #Aktivis 98 Tolak Prabowo di Kabinet Jokowi - Detiknews https://t.co/CI3feWNQbN #Prabowo #PrabowoSubianto #Berita #Politik #Gerindra #Indonesia ;negatif
 #Angkat Prabowo Jadi Menteri  Jokowi Ditinggalkan Relawan Projo - Nasional https://t.co/5JVMiOlTJI https://t.co/DMi3YVdjRq #Prabowo #PrabowoSubianto #Berita #Politik #Gerindra #Indonesia ;negatif
 #Bahaya Demokrasi  Jokowi Ajak Prabowo Jadi Menteri  LIPI: Buat Apa Pemilu Kalau Semua Dapat Piala? - https://t.co/c6AbcaUm5f https://t.co/MAD3CsX4K1 #Demokrasi #Indonesia ;negatif
 #BeritaIslam Kadernya Tak Masuk Kabinet  RMI-PBNU Dongkol: Jokowi Akan Kualat    https://t.co/hNRQjVgPec #BeritaIslam ;negatif
 #BeritaIslam Menteri Jokowi Cuma Ada 34  kok Pemerintah Siapkan 101 Mobil Baru? https://t.co/POnbsAi37m #BeritaIslam ;negatif
 #BeritaIslam Pasar Sambut Negatif Kabinet Baru Jokowi https://t.co/KmYeoioF4o #BeritaIslam ;negatif
 #BeritaIslam Pengamat: Beberapa Menteri Latar Belakangnya Tak Mumpuni https://t.co/cy403lcAE0 #BeritaIslam ;negatif
 #BeritaIslam Tak Jadi Menteri  Amran Baru Berani Bilang Data BPS Data Mafia https://t.co/fBXASCRYOd #BeritaIslam ;negatif
 #BeritaIslam Tokoh Papua: Terimakasih Pak Jokowi  Kabinet Jilid II Tak Ada Keterwakilan Orang Asli Papua https://t.co/DzvovsqAvi #BeritaIslam ;negatif
 #BeritaIslam: Kadernya Tak Masuk Kabinet  RMI-PBNU Dongkol: Jokowi Akan Kualat    https://t.co/4VMMADPIYg ;negatif
 #BeritaIslam: Menteri Jokowi Cuma Ada 34  kok Pemerintah Siapkan 101 Mobil Baru? https://t.co/qc3ewI7GzJ ;negatif
 #BeritaIslam: Pasar Sambut Negatif Kabinet Baru Jokowi https://t.co/2TOjvH1oIo ;negatif
 #BeritaIslam: Pengamat: Beberapa Menteri Latar Belakangnya Tak Mumpuni https://t.co/wJVuxv45id ;negatif
 #BeritaIslam: Rocky Gerung soal Kabinet Jokowi: Itu Rekonsilisi Palsu https://t.co/RAxoxQ4mnz ;negatif
 #BeritaIslam: Tak Jadi Menteri  Amran Baru Berani Bilang Data BPS Data Mafia https://t.co/vL2thgPva ;negatif
 #BeritaIslam: Tokoh Papua: Terimakasih Pak Jokowi  Kabinet Jilid II Tak Ada Keterwakilan Orang Asli Papua https://t.co/cP9zjRtJ6K ;negatif
 #BeritaIslam: Yunarto: Prabowo jadi Menteri Jokowi itu Transaksi Politik  bukan Negarawan https://t.co/IVUNWYcEec ;negatif
 #BUSUSI @susipudjiastuti  menteri lagi Up Cc pak @jokowi ;negatif
 #Daerah Warga Pangandaran Sesalkan Susi Tak Lagi Jadi Menteri https://t.co/rVhXB0lJV ;negatif
 #Gagal Jadi Presiden  Prabowo Terima Jabatan Menteri Jokowi Demi Bangsa  Najwa Shihab: Saya Ragu - Tribunnews https://t.co/5EexDUYpMg #Prabowo #PrabowoSubianto #Berita #Politik #Gerindra #Indonesia ;negatif
 #ILCMenangisDanTertawaBpk yth  @jokowi  jatah menteri untuk Nasdem nya kurang Nih layak nih jadi menteri (politikus Nasdem) https://t.co/8CBgXAL0uj ;negatif
" #Informasi #Klarifikasi #Disinformasi Kecewa Kader NU Tak Di Jadikan Menteri Agama  PBNU Do akan Jokowi Kualat.Ridwan Darmawan dari Rabithah Maahid Al-Islamiyyah Nahdlatul Ulama (RMI NU) mengklarifikasi komentar    https://t.co/AhVoyRYAcC""";negatif
 #jadikan ibu Susi menjadi menteri lagi.Kenapa orang sehebat dia tidak di pertahankan Pak presiden.. ;negatif
" #Jokowi #Prabowo #Demokrasi""Buat apa kita mengadakan pemilu kalau ujung-ujungnya kekuasaan itu dibagi-bagi antara yang menang dan yang kalah?Ya kalau kompetisi sepak bola ibarat semua dapat piala "" kata Syamsuddin https://t.co/rWg8mrnsj8 ";negatif
 #JokowiDijebak. Rata bobot menteri diatas 75 Kg. Dipastikan kabinet dua jokowi lambat bergerak he he ;negatif
 #JokowiMintaMaaf karna tidak bisa mengakomodir semua pendukung di kabinet itu tapi memilih rival pilpres menjadi menteri menjadi sebuah keanehan. Pendukung tidak diakomodir tapi rival diakomodir. Kadang bingung dengan ucapan presiden Jokowi sampai orang luar negeri juga bingung ;negatif
