text;category
selamat kerja kabinet jokowi maruf kerja lurus hati turun anggun saat;positif
selamat nadiem anwar makarim menteri didik budaya indonesia moga diri usaha go blok;positif
pasca lantik kabinet indonesia maju jilid ii perintah jokowi maruf kaget nyata nyata tegang datang pos pos menteri menteri agama misal sebut tugas berantas radikalisme;negatif
visi misi menteri visi misi presiden wakil presiden pasti serius sungguh copot tengah jalan jokowi selamat tugas menteri kabinet indonesia maju bu mana;positif
tenang jokowi pilih menteri bukan asal yakin percaya pada doa jokowi selalu hrs panjat dukung pada;positif
jadi hilang rasa kalo bukan buk sus jadi menteri;negatif
menteri rasa presiden;positif
banyak kejut sesuai harap selamat buat bapak prabowo subianto menteri tahan moga jadi benteng satu rakyat pecah belah selamat buat bpk mahfudz md;positif
masalah sama sekali bu ibu sukses bikin standar cukup tinggi kerja orang menteri terima kasih banyak bu buat abdi kerja ibu lama gbu bu sus;positif
ibu pilih jajar kabinet jokowi maruf sungguh sebut atas mohon ingin beliau sendiri alas tentu jadi hak mohon kesal salah presiden hormat;positif
wahai wakil rakyat menteri baru juang kaum miskin difabel butuh hidup layak anda ny menteri khusus miskin aku yakin rakyat miskin difabel derajat sejahtera hidup ny;positif
rakyat hibur segala bantuann presiden menteri;positif
edy prabowo jadi tri kkp mudah bukan politik dagang sapi pak;positif
selamat pak nadiem makarim jadi menteri didik budaya;positif
gilasih nadiem makarim;positif
bau penghianatan mulai cium kacau;negatif
padahal satu satu menteri selamat muka kabinet jokowi lalu bu sus ckckckckck;negatif
pak presiden tanya apa pak prestasi pak teten masduki posisi priode kabinet bapak;negatif
kursi menteri pan tetap dukung jokowi;positif
tonton umum menteri nadiem makarim menteri didik budaya aku tante tonton hahh didik budaya;negatif
main main rang berantas radikalisme menteri tugas bersih radikalisme indonesia sembarang;positif
makanya kpk kena hantam uu baru benar ud duli daerah tahu jabat daerah takut sekarang ama kpk bangun rumah imb aman tgl suap kabag satpol pp lapor menteri smi soal korupsi paling masuk tong sampah;negatif
sama;negatif
edar surat mkek saran presiden jokowi angkat awan jadi menteri sehat mkek benar sebut kata;negatif
kemenhub prabowo menteri tahan kira tugas beliau lebih tau;positif
don need kader par tai ngerti urus laut nelayan butuh menteri bukan unyeng halo;negatif
beliau buat kabinet jokowi jangan pernah nilai orang luar nilai hasil kerja beliau jaim tapiiiii wow unt ibu sus;positif
selamat atas pelantikanx menteri desa;positif
moga kabinet perintah pak jokowi part jawab tantang tumbuh signifikan indonesia depan indonesia jaya;positif
entar malam tambah jabat wawamen wakil wakil menteri;negatif
asn hapus eselon iii iv sedang kabinet tambah jabat wakil menteri henti pns koruptor mantan napi korupsi realisasi daerah banyak pns mantan napi koruptor dinas;negatif
selamat atas lantik kabinet baru moga bapak ibu menteri terhomat emban amanah baik indonesia lebih maju nyaman tentram sejahtera penuh limpah barokah;positif
moga menteri tahan pak prabowo bimbing tahan menjomblo;positif
selamat jalan tugas menteri bumn ri kabinet indonesia maju bapak erick thohir semangat kerja sama bumn maju indonesia;positif
susun kabinet jokowi nilai profesional;positif
satu menteri kerja baik era jokowi moga kenan karya bangsa;positif
menteri favorit sering sering upload giat pak prabowo;positif
selamat gus halim lantik jadi menteri desa pdtt;positif
aku lebih fokus jas bapak malah beda jas menteri lain lebih mantap elegan sekali lihat moga selalu sehat emban amanah baru bawa indonesia lebih baik pak jangan lupa doa ulama ulama selalu doa bapak;positif
entar baper enggak enggak;negatif
selamat atas lantik gus jadi menteri desa pdtt kabinet indonesia maju moga amanah sukses;positif
selamat kerja kabinet indonesia maju moga menteri pilih mampu terjemah visi misi pak maruf;positif
polling lihat kontroversi prjalanan pem jokowi utang ln mkn bengkak tumbuh ekonomi lap kerja sulit periode umum hsl pilpres kpu tgh malam menang mk tambah lg kabinet baru byk wjh lama pem jokowi tahan lama;negatif
allahmdulillahhirobilalamin atas kebijaksanaanya bpk presiden indonesia bpk ir joko widodo pilih menteri kabinet jilid mantap moga allah swt selalu sama bpk yra;positif
selamat tugas bapak presiden bapak wakil presiden serta kabinet indonesia maju periode;positif
bu sus terima kasih jadi tokoh inspiratif biarpun jadi menteri jasa pernah padam love matursuwun;positif
munafik kasih jatah menteri untk oap jadi datang jangan mau bikin bodoh;negatif
kabinet dagel beban;negatif
sudah euforia pilih menteri kabinet jokowi maruf biar dulu kerja jangan apa apa kritik apa apa puji semua bantu bayar pakai uang;positif
beberapa menteri kabinet baru jokowi tahan mnurutku keren lanjut program cukup tahun menteri baru rasa cukup mumpuni ganti menteri belum;positif
kemarin harap ibu masuk kabinet jilid paling menteri sosial lihat tegas ibu debat lawan musuh logika cukup sayang pak lebih perhati lawan politik;negatif
beban ass kembali kabinet;negatif
selamat bpk nadiem makarim menteri didik budaya kabinet kerja periode moga maju didik budaya indonesia pinta jangan bikin ribet guru administrasi kurikulum;positif
selamat pagi pak menteri menteri baru semangat baru moga desa lebih baik maju;positif
intoleransi ancam serius nyata bangsa aneka agama ras suku budaya manusia mjd intoleran radikal ajar didik moga putus benar mendikbud milenialmenteri agama purnawirawan;positif
sedih bu sus ndak jadi menteri;negatif
cebong teriak telat purn fachrul razi pilih jokowi jadi menteri agama menag pbnu kata tunjuk fachrul razi tuai kecewa kiai kiai;negatif
shock rada sedih ibu sus jadi menteri lg semua tidak tau memang beliau pilih beliau pilih istirahatyg penting dukung moga ganti lebih baik smua bangun ibu sus jaga baik;positif
siapa jadi menteri mesti terjemah amanah benar kata jokowi jangan korupsi;positif
selamat bapak menteri kp inshallah kkp makin maju;positif
nyata memang bu sus sendiri hendak jadi menteri periode bukan selamat tinggal ibu sus kerja pernah lupa;positif
lihat postur kabinet siapa wapres perintah mengakomodir aspirasi masyarakat tegas sapu bersih radikalisme salut sikap apresiasi formasi kabinet jilid;positif
biar kan dl menteri baru kerja jalan baru kritik soal menteri agama kursi panas lihat belum banyak sandung;positif
moga kabinet maju amanah;positif
menteri bagus bu sus kerja jelas idola masyarakat indonesia malah singkir ganti sungguh kecewa utama masyarakat profesi hubung;negatif
bamsoet apresiasi pilih beberapa kalang muda;positif
muda kreatif inovatif;positif
pilih pak bikin nganga terobos hebat bikin sedih orang bagus hilang bikin kaget orang jadi menteri serah presiden moga indonesia jadi lebih baik;positif
selamat pagi planeters hangat hari bapak presiden ri jokowi umum nama nama menteri masuk kabinet indonesia maju hari pukul list nama tri neeh;positif
baru hari lalu presiden pidato lantik kata mangkas tingkat level eselon jajar menteri maupun lembaga negara sekarang malah nambah jajar wakil menteri menteri tunjuk tidak konsisten cara berfikir;negatif
mungkin baru kali tarik sama tri agama selamat kerja pak;positif
bu sus masuk menteri;negatif
selamat atas lantik menteri kabinet jokowi moga sukses emban amanah sejahtera rakyat indonesia;positif
selamat bapak edi prabowo menteri laut ikan baru sukses selalu pak edi prabowo yessss moga bpk lebih perhati usaha dunia ikan air tawar mudah;positif
selamat sukses bp abdul halim iskandar menteri desa bangun daerah tinggal transmigrasi;positif
trus jalan keluar apa pak pikir orang jadi negatif;negatif
selamat buat lantik menteri sprtinya santri entu tuh wali tau kalo pak prabowo bakal jadi menteri pak jokowi;positif
byuh segitunya ama menhan baru br hari kerja jegal sikut hambat kata pancasilais bela nkri ngotot banget jadi mamarika atheis panda pekaceh;negatif
selamat kagem gus halim menteri desa pdtt kabinet pak periode dua moga lilin lilin desa nyala serempak indonesia sinar terang benderang maju indonesia makmur;positif
ketua dpp partai amanat nasional pan yandri susanto aku sepakat amien rais pilih beri sempat prabowo menteri kabinet presiden jokowi;positif
sangat sepakat nyata pak fachrul razi pak fachrul razi memang bukan menteri agama islam bapak menteri agama ri ayom seluruh agama nkri mohon bpk presiden pak tito;positif
suami prabowoo mau yah jadi bawah jokowi rasa sama deh jokowi mau pilih prabowoo jadi menteri;negatif
